Date,Open,High,Low,Close ,Adj Close ,Volume,Month-over-month
"Jan 1, 2019",51.36,56.38,51.12,56.29,55.87,697168000,0.0773235634400309
"Dec 1, 2018",56.61,56.75,48.88,52.25,51.86,857436000,-0.0582894497911749
"Nov 1, 2018",54.57,55.5,50.11,55.48,55.07,786236000,0.0175535846267554
"Oct 1, 2018",60.65,61.23,50.36,54.53,54.12,1130942000,-0.0964941569282137
"Sep 1, 2018",61.13,61.39,57.58,60.35,59.9,718518000,-0.0201210534925569
"Aug 1, 2018",61.96,63.6,60.2,61.59,61.13,685718000,0.00377668308702805
"Jul 1, 2018",55.77,64.57,55.33,61.36,60.9,835654000,0.0867237687366167
"Jun 1, 2018",55.64,60.07,55.3,56.46,56.04,803684000,0.0265616413262502
"May 1, 2018",50.81,55.91,50.39,55,54.59,740734000,0.0799208704253216
"Apr 1, 2018",51.38,54.88,49.71,50.93,50.55,984928000,-0.0178744899941714
"Mar 1, 2018",55.48,58.91,49.2,51.86,51.47,1042336000,-0.0604235122307412
"Feb 1, 2018",58.8,59.37,49.85,55.2,54.78,1026814000,-0.0663030509630135
"Jan 1, 2018",52.65,59.9,52.65,59.11,58.67,657748000,0.122226472838562
"Dec 1, 2017",51.52,54.32,50.12,52.67,52.28,598810000,0.0167250097238429
"Nov 1, 2017",51.82,54,51.43,51.81,51.42,573720000,0.00312134217713633
"Oct 1, 2017",48.78,53.18,48.1,51.65,51.26,737076000,0.0608443708609272
"Sep 1, 2017",47.87,48.79,46.23,48.69,48.32,592524000,0.019409282700422
"Aug 1, 2017",47.39,47.86,45.93,47.76,47.4,656924000,0.0102301790281329
"Jul 1, 2017",46.66,50.31,45.77,47.28,46.92,838172000,0.0169050715214565
"Jun 1, 2017",49.55,50.43,46.48,46.48,46.14,881706000,-0.0579828501429154
"May 1, 2017",46.21,49.98,46.04,49.35,48.98,707186000,0.0675675675675675
"Apr 1, 2017",42.44,46.79,41.73,46.23,45.88,574432000,0.0905633468029474
"Mar 1, 2017",42.57,43.72,41.22,42.39,42.07,691002000,0.003338898163606
"Feb 1, 2017",41.2,42.69,40.6,42.25,41.93,529816000,0.0302211302211302
"Jan 1, 2017",40.03,43.35,39.84,41.01,40.7,736654000,0.0348334604627512
"Dec 1, 2016",38.93,41.22,37.67,39.62,39.33,687126000,0.0215584415584416
"Nov 1, 2016",40.54,40.8,37.18,38.79,38.5,967068000,-0.0420502612590196
"Oct 1, 2016",40.13,41.95,39.81,40.49,40.19,707820000,0.00726817042606509
"Sep 1, 2016",39.6,40.95,39.17,40.2,39.9,630896000,0.0178571428571428
"Aug 1, 2016",39.33,40.69,39.25,39.49,39.2,577080000,-0.00178253119429594
"Jul 1, 2016",35.26,40.2,34.95,39.57,39.27,653244000,0.124892580922372
"Jun 1, 2016",37.42,37.57,33.63,35.18,34.91,839330000,-0.0605489773950485
"May 1, 2016",35.6,37.67,35.2,37.44,37.16,682046000,0.0577853686307996
"Apr 1, 2016",37.86,39.55,35.16,35.39,35.13,933228000,-0.072107765451664
"Mar 1, 2016",36.06,38.87,35.2,38.15,37.86,853314000,0.0637819612250632
"Feb 1, 2016",38.56,40.52,34.1,35.86,35.59,1352946000,-0.0579671784012704
"Jan 1, 2016",38.11,38.46,34.39,38.07,37.78,1039984000,-0.0214970214970215
"Dec 1, 2015",38.35,39.93,36.81,38.9,38.61,872694000,0.0198098256735342
"Nov 1, 2015",36.73,39.15,36.57,38.14,37.86,751482000,0.0347089368679967
"Oct 1, 2015",31.9,37.63,31.56,36.87,36.59,1005286000,0.154987373737374
"Sep 1, 2015",31.69,34.1,30.89,31.92,31.68,871504000,-0.0146189735614307
"Aug 1, 2015",32.88,35.2,29.65,32.39,32.15,1106942000,-0.0147103892123813
"Jul 1, 2015",27.18,35.67,26.99,32.88,32.63,1370858000,0.217537313432836
"Jun 1, 2015",27.44,28.28,26.94,27,26.8,704328000,-0.00960827790096075
"May 1, 2015",27.53,27.91,26.61,27.27,27.06,648434000,-0.00624311421226598
"Apr 1, 2015",27.74,29.24,26.45,27.44,27.23,874900000,-0.0108972030512169
"Mar 1, 2015",28.35,29.16,27.52,27.74,27.53,864144000,-0.0139684813753582
"Feb 1, 2015",26.72,28.47,26.09,28.13,27.92,808386000,0.0464767616191906
"Jan 1, 2015",26.63,27.27,24.55,26.88,26.68,1056926000,0.013292821876187
"Dec 1, 2014",27.25,27.44,24.86,26.53,26.33,1088686000,-0.0337614678899083
"Nov 1, 2014",28.18,28.36,26.96,27.45,27.25,595410000,-0.0330021291696239
