Date,Open,High,Low,Close ,Adj Close ,Volume
"Jan 1, 2014",95.76,96.36,92.18,92.88,75.85,84208200
"Dec 20, 2013",0.494 Dividend,,,,,
"Dec 1, 2013",94.06,96,92.16,95.92,77.92,68232900
"Nov 1, 2013",91.44,94.34,90.6,93.86,76.25,43403300
"Oct 1, 2013",87.74,92.4,85.63,91.39,74.24,67666200
"Sep 23, 2013",0.429 Dividend,,,,,
"Sep 1, 2013",85.77,90.23,84.84,87.65,70.86,43307200
"Aug 1, 2013",88.1,88.69,84.6,84.77,68.53,45063300
"Jul 1, 2013",83.29,88,82.83,87.42,70.67,47132600
"Jun 24, 2013",0.386 Dividend,,,,,
"Jun 1, 2013",84.45,85.52,80.19,82.67,66.52,61826100
"May 1, 2013",82.11,87.09,81.38,84.27,67.81,42203000
"Apr 1, 2013",80.95,82.3,78.93,82.26,66.19,39212700
"Mar 22, 2013",0.364 Dividend,,,,,
"Mar 1, 2013",77.96,81.02,77.51,80.96,64.85,34736600
"Feb 1, 2013",77.78,79.16,76.67,78.24,62.67,38816800
"Jan 1, 2013",74.53,77.83,74.5,77.25,61.88,49813700
"Dec 20, 2012",0.545 Dividend,,,,,
"Dec 1, 2012",73.27,74.88,71.82,73.28,58.26,56318500
"Nov 1, 2012",72.54,73.63,68.9,72.88,57.95,43130600
"Oct 1, 2012",73.99,75.25,71.8,72.32,57.5,34593900
"Sep 24, 2012",0.364 Dividend,,,,,
"Sep 1, 2012",72.14,75.91,71.62,73.65,58.27,31581600
"Aug 1, 2012",70.67,73.11,69.03,72.21,57.14,28654300
"Jul 1, 2012",69.87,71.05,67.82,70.31,55.63,28766400
"Jun 25, 2012",0.346 Dividend,,,,,
"Jun 1, 2012",66.24,69.99,64.94,69.7,54.87,42379700
"May 1, 2012",71.8,72.79,66.3,67.33,53.01,40132200
"Apr 1, 2012",72.26,73.06,69.57,71.8,56.52,38133000
"Mar 26, 2012",0.308 Dividend,,,,,
"Mar 1, 2012",70.67,72.99,68.97,72.26,56.64,39714100
"Feb 1, 2012",68.13,71.19,68.03,70.41,55.19,54666300
"Jan 1, 2012",65.41,68.6,64.58,67.56,52.96,39381500
"Dec 21, 2011",0.361 Dividend,,,,,
"Dec 1, 2011",63.95,65.25,61.76,64.3,50.12,44730500
"Nov 1, 2011",62.4,65.66,59.45,64.04,49.92,38256600
"Oct 1, 2011",57.38,66.35,54.58,64.28,50.1,60259100
"Sep 23, 2011",0.306 Dividend,,,,,
"Sep 1, 2011",62.81,63.39,57.13,57.72,44.75,63660600
"Aug 1, 2011",67.66,67.76,56.42,62.78,48.68,107978800
"Jul 1, 2011",68.43,70.42,66.22,66.85,51.83,47640600
"Jun 24, 2011",0.283 Dividend,,,,,
"Jun 1, 2011",69.77,69.81,65.18,68.4,52.81,49901900
"May 1, 2011",71.04,71.11,67.89,69.95,54,31677900
"Apr 1, 2011",69.18,70.8,67.07,70.7,54.58,29630200
"Mar 25, 2011",0.283 Dividend,,,,,
"Mar 1, 2011",68.94,69,64.75,68.71,52.83,45664600
"Feb 1, 2011",66.72,69.63,66.69,68.71,52.83,42064700
"Jan 1, 2011",65.36,67.18,65.04,66.26,50.94,40269100
"Dec 22, 2010",0.346 Dividend,,,,,
"Dec 1, 2010",61.92,65.16,61.92,64.93,49.65,108380700
"Nov 1, 2010",61.04,63.1,60.32,61.03,46.67,30401100
"Oct 1, 2010",58.85,61.3,57.85,60.72,46.43,40163300
"Sep 24, 2010",0.297 Dividend,,,,,
"Sep 1, 2010",54.25,59.2,54.25,58.37,44.41,41757300
"Aug 1, 2010",57.16,57.65,52.98,53.6,40.78,38699200
"Jul 1, 2010",52.5,57.38,51.46,56.25,42.79,39708600
"Jun 24, 2010",0.269 Dividend,,,,,
"Jun 1, 2010",55.43,58.13,52.42,52.56,39.8,49950900
"May 1, 2010",61.15,61.82,29.76,56.09,42.47,56280400
"Apr 1, 2010",60.01,62.65,59.63,60.89,46.1,29872900
